DATE,Lot Code,Film Manufacturer,PO,Machine,Master Roll 1,Master Roll 2,Weight,Tested By,Lane,Pressure1,Pressure2,Pressure3,Pressure4,Pressure5,Pressure6,PressureAverage,PressureMIN,PressureMAX
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,1,1321.0,1369,1344.0,,,,1344.67,1321,1369
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,2,1460.0,1460,561.0,,,,1160.33,561,1460
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,3,1022.0,1022,1022.0,,,,1022.0,1022,1022
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,4,1318.0,1405,1447.0,,,,1390.0,1318,1447
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,5,1498.0,1439,1482.0,,,,1473.0,1439,1498
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,6,861.0,1425,1440.0,,,,1242.0,861,1440
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,7,1440.0,1440,1151.0,,,,1343.67,1151,1440
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,8,797.0,797,453.0,,,,682.33,453,797
2026-02-13,20251206,Hong Kong,293562,,233,232,2.0 OZ,YAZMIN P,9,776.0,1499,1499.0,,,,1258.0,776,1499
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,12,1314.0,1314,1456.0,,,,1361.33,1314,1456
2026-02-13,20251206,Hong Kong,293562,,242,,2.0 OZ,YAZMIN P,1,462.0,625,929.0,,,,672.0,462,929
2026-02-13,20251206,Hong Kong,293562,,238,239,2.0 OZ,YAZMIN P,2,784.0,750,1032.0,,,,855.33,750,1032
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,2,1140.0,1193,1266.0,,,,1199.67,1140,1266
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,4,1031.0,1068,1394.0,,,,1164.33,1031,1394
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,5,1419.0,1471,1108.0,,,,1332.67,1108,1471
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,6,1214.0,1362,979.0,,,,1185.0,979,1362
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,7,1063.0,529,678.0,,,,756.67,529,1063
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,8,1187.0,662,1301.0,,,,1050.0,662,1301
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,9,980.0,440,440.0,,,,620.0,440,980
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,10,1365.0,1200,1054.0,,,,1206.33,1054,1365
2026-02-13,20251206,Hong Kong,293562,,244,246,2.0 OZ,YAZMIN P,11,1200.0,1243,1394.0,,,,1279.0,1200,1394
